DutyID;Paid time or cost of duty;Trips;Car travels
47;290;"1, 47, 131, 132, ";"1, 20, 77, "
48;378;"1, 47, 131, 132, 133, 134, ";"1, 20, 79, "
49;378;"1, 47, 132, 133, 134, ";"1, 79, "
50;338;"1, 47, 48, 49, 68, ";"1, 42, "
51;348;"1, 47, 48, 49, 87, ";"1, 60, "
52;358;"1, 47, 48, 49, 99, ";"1, 137, "
53;378;"1, 47, 48, 49, 133, 134, ";"1, 79, "
54;338;"1, 48, 49, 68, ";"1, 26, 42, "
55;348;"1, 48, 49, 87, ";"1, 26, 60, "
56;358;"1, 48, 49, 99, ";"1, 26, 137, "
57;378;"1, 48, 49, 133, 134, ";"1, 26, 79, "
58;363;"1, 50, 69, 70, ";"1, 32, 54, "
59;373;"1, 50, 88, 89, ";"1, 32, 63, "
60;260;"1, 65, 98, ";"1, 67, "
61;270;"1, 65, 113, ";"1, 73, "
62;258;"1, 65, 131, ";"1, 38, 75, "
63;280;"1, 65, 131, 132, ";"1, 38, 77, "
64;368;"1, 65, 131, 132, 133, 134, ";"1, 38, 79, "
65;280;"1, 65, 132, ";"1, 77, "
66;368;"1, 65, 132, 133, 134, ";"1, 79, "
67;338;"1, 65, 66, 67, 87, ";"1, 60, "
68;348;"1, 65, 66, 67, 99, ";"1, 137, "
69;358;"1, 65, 66, 67, 114, ";"1, 180, "
70;368;"1, 65, 66, 67, 133, 134, ";"1, 79, "
71;338;"1, 66, 67, 87, ";"1, 44, 60, "
72;348;"1, 66, 67, 99, ";"1, 44, 137, "
73;358;"1, 66, 67, 114, ";"1, 44, 180, "
74;368;"1, 66, 67, 133, 134, ";"1, 44, 79, "
75;363;"1, 68, 88, 89, ";"1, 50, 63, "
76;373;"1, 68, 100, 101, ";"1, 50, 200, "
77;355;"1, 86, 99, ";"1, 56, 137, "
78;365;"1, 86, 114, ";"1, 56, 180, "
79;375;"1, 86, 133, 134, ";"1, 56, 79, "
80;369;"1, 87, 100, 101, ";"1, 59, 200, "
81;379;"1, 87, 115, 116, ";"1, 59, 215, "
82;270;"1, 97, 4, ";"1, 3, "
83;368;"1, 97, 4, 5, 6, ";"1, 6, "
84;280;"1, 97, 17, ";"1, 9, "
85;378;"1, 97, 17, 18, 19, ";"1, 12, "
86;260;"1, 97, 132, ";"1, 77, "
87;348;"1, 97, 132, 133, 134, ";"1, 79, "
88;368;"1, 97, 98, 5, 6, ";"1, 6, "
89;378;"1, 97, 98, 18, 19, ";"1, 12, "
90;338;"1, 97, 98, 114, ";"1, 180, "
91;348;"1, 97, 98, 133, 134, ";"1, 79, "
92;368;"1, 98, 5, 6, ";"1, 69, 6, "
93;378;"1, 98, 18, 19, ";"1, 69, 12, "
94;338;"1, 98, 114, ";"1, 69, 180, "
95;348;"1, 98, 133, 134, ";"1, 69, 79, "
96;373;"1, 113, 5, 6, ";"1, 72, 6, "
97;353;"1, 113, 133, 134, ";"1, 72, 79, "
98;258;"1, 131, 4, ";"1, 3, "
99;356;"1, 131, 4, 5, 6, ";"1, 6, "
100;268;"1, 131, 17, ";"1, 9, "
101;366;"1, 131, 17, 18, 19, ";"1, 12, "
102;278;"1, 131, 37, ";"1, 15, "
103;376;"1, 131, 37, 38, 39, ";"1, 18, "
104;356;"1, 131, 132, 5, 6, ";"1, 6, "
105;366;"1, 131, 132, 18, 19, ";"1, 12, "
106;376;"1, 131, 132, 38, 39, ";"1, 18, "
107;356;"1, 132, 5, 6, ";"1, 81, 6, "
108;366;"1, 132, 18, 19, ";"1, 81, 12, "
109;376;"1, 132, 38, 39, ";"1, 81, 18, "
110;269;"1, 145, ";"1, 87, 283, "
111;307;"1, 47, 4, ";"1, 285, "
112;267;"1, 47, 86, ";"1, 287, "
113;297;"1, 47, 132, ";"1, 289, "
114;375;"1, 47, 48, 49, 114, ";"1, 291, "
115;375;"1, 48, 49, 114, ";"1, 26, 291, "
116;297;"1, 65, 4, ";"1, 285, "
117;307;"1, 65, 17, ";"1, 298, "
118;297;"1, 97, 37, ";"1, 300, "
119;307;"1, 97, 50, ";"1, 302, "
120;295;"1, 131, 50, ";"1, 302, "
121;303;"1, 131, 68, ";"1, 306, "
122;258;"1, 4, ";"3, "
123;341;"1, 4, 5, 6, ";"6, "
124;258;"1, 17, ";"9, "
125;341;"1, 17, 18, 19, ";"12, "
126;258;"1, 35, 36, ";"311, "
127;323;"1, 35, 36, 37, ";"15, "
128;258;"1, 37, ";"15, "
129;341;"1, 37, 38, 39, ";"18, "
130;258;"1, 47, ";"315, 20, "
131;258;"1, 47, 48, 49, ";"315, 22, "
132;339;"1, 47, 48, 49, 50, ";"315, 24, "
133;258;"1, 48, 49, ";"22, "
134;318;"1, 48, 49, 50, ";"24, "
135;258;"1, 50, ";"24, "
136;341;"1, 50, 51, 52, ";"36, "
137;258;"1, 65, ";"325, 38, "
138;258;"1, 65, 66, 67, ";"325, 40, "
139;337;"1, 65, 66, 67, 68, ";"325, 42, "
140;258;"1, 66, 67, ";"40, "
141;316;"1, 66, 67, 68, ";"42, "
142;258;"1, 86, ";"57, "
143;258;"1, 97, ";"334, 65, "
144;258;"1, 97, 98, ";"334, 67, "
145;258;"1, 98, ";"67, "
146;258;"1, 113, ";"73, "
147;258;"1, 131, ";"340, 75, "
148;258;"1, 131, 132, ";"340, 77, "
149;345;"1, 131, 132, 133, 134, ";"340, 79, "
150;258;"1, 132, ";"77, "
151;324;"1, 132, 133, 134, ";"79, "
152;351;"1, 4, 18, 19, ";"12, "
153;361;"1, 4, 38, 39, ";"18, "
154;371;"1, 4, 51, 52, ";"36, "
155;351;"1, 17, 38, 39, ";"18, "
156;361;"1, 17, 51, 52, ";"36, "
157;371;"1, 17, 69, 70, ";"54, "
158;333;"1, 35, 36, 50, ";"24, "
159;341;"1, 35, 36, 68, ";"42, "
160;351;"1, 35, 36, 87, ";"60, "
161;351;"1, 37, 51, 52, ";"36, "
162;361;"1, 37, 69, 70, ";"54, "
163;371;"1, 37, 88, 89, ";"63, "
164;258;"1, 47, 66, 67, ";"315, 40, "
165;347;"1, 47, 66, 67, 68, ";"315, 42, "
166;258;"1, 47, 97, ";"315, 20, 65, "
167;279;"1, 47, 97, 98, ";"315, 20, 67, "
168;279;"1, 47, 98, ";"315, 67, "
169;289;"1, 47, 113, ";"315, 73, "
170;258;"1, 47, 131, ";"315, 20, 75, "
171;299;"1, 47, 131, 132, ";"315, 20, 77, "
172;347;"1, 47, 48, 49, 68, ";"315, 42, "
173;357;"1, 47, 48, 49, 87, ";"315, 60, "
174;367;"1, 47, 48, 49, 99, ";"315, 137, "
175;326;"1, 48, 49, 68, ";"42, "
176;336;"1, 48, 49, 87, ";"60, "
177;346;"1, 48, 49, 99, ";"137, "
178;366;"1, 48, 49, 133, 134, ";"79, "
179;351;"1, 50, 69, 70, ";"54, "
180;361;"1, 50, 88, 89, ";"63, "
181;371;"1, 50, 100, 101, ";"200, "
182;269;"1, 65, 98, ";"325, 67, "
183;279;"1, 65, 113, ";"325, 73, "
184;258;"1, 65, 131, ";"325, 38, 75, "
185;289;"1, 65, 131, 132, ";"325, 38, 77, "
186;377;"1, 65, 131, 132, 133, 134, ";"325, 38, 79, "
187;289;"1, 65, 132, ";"325, 77, "
188;377;"1, 65, 132, 133, 134, ";"325, 79, "
189;347;"1, 65, 66, 67, 87, ";"325, 60, "
190;357;"1, 65, 66, 67, 99, ";"325, 137, "
191;367;"1, 65, 66, 67, 114, ";"325, 180, "
192;377;"1, 65, 66, 67, 133, 134, ";"325, 79, "
193;376;"1, 66, 67, 5, 6, ";"6, "
194;326;"1, 66, 67, 87, ";"60, "
195;336;"1, 66, 67, 99, ";"137, "
196;346;"1, 66, 67, 114, ";"180, "
197;356;"1, 66, 67, 133, 134, ";"79, "
198;343;"1, 86, 99, ";"137, "
199;353;"1, 86, 114, ";"180, "
200;363;"1, 86, 133, 134, ";"79, "
201;279;"1, 97, 4, ";"334, 3, "
202;377;"1, 97, 4, 5, 6, ";"334, 6, "
203;289;"1, 97, 17, ";"334, 9, "
204;269;"1, 97, 132, ";"334, 77, "
205;357;"1, 97, 132, 133, 134, ";"334, 79, "
206;377;"1, 97, 98, 5, 6, ";"334, 6, "
207;347;"1, 97, 98, 114, ";"334, 180, "
208;357;"1, 97, 98, 133, 134, ";"334, 79, "
209;356;"1, 98, 5, 6, ";"6, "
210;366;"1, 98, 18, 19, ";"12, "
211;376;"1, 98, 38, 39, ";"18, "
212;326;"1, 98, 114, ";"180, "
213;336;"1, 98, 133, 134, ";"79, "
214;361;"1, 113, 5, 6, ";"6, "
215;371;"1, 113, 18, 19, ";"12, "
216;341;"1, 113, 133, 134, ";"79, "
217;365;"1, 131, 4, 5, 6, ";"340, 6, "
218;277;"1, 131, 17, ";"340, 9, "
219;375;"1, 131, 17, 18, 19, ";"340, 12, "
220;287;"1, 131, 37, ";"340, 15, "
221;365;"1, 131, 132, 5, 6, ";"340, 6, "
222;375;"1, 131, 132, 18, 19, ";"340, 12, "
223;344;"1, 132, 5, 6, ";"6, "
224;354;"1, 132, 18, 19, ";"12, "
225;364;"1, 132, 38, 39, ";"18, "
226;374;"1, 132, 51, 52, ";"36, "
227;368;"1, 35, 36, 99, ";"466, "
228;316;"1, 47, 4, ";"315, 285, "
229;276;"1, 47, 86, ";"315, 287, "
230;306;"1, 47, 132, ";"315, 289, "
231;363;"1, 48, 49, 114, ";"291, "
232;306;"1, 65, 4, ";"325, 285, "
233;316;"1, 65, 17, ";"325, 298, "
234;306;"1, 97, 37, ";"334, 300, "
235;316;"1, 97, 50, ";"334, 302, "
236;274;"1, 131, 4, ";"340, 285, "
237;304;"1, 131, 50, ";"340, 302, "
238;312;"1, 131, 68, ";"340, 306, "
239;309;"1, 2, 3, 5, 6, ";"488, 489, 6, "
240;409;"1, 2, 3, 5, 6, 7, 8, ";"488, 489, 493, "
241;319;"1, 2, 3, 18, 19, ";"488, 495, 12, "
242;419;"1, 2, 3, 18, 19, 20, 21, ";"488, 495, 499, "
243;329;"1, 2, 3, 38, 39, ";"488, 501, 18, "
244;429;"1, 2, 3, 38, 39, 40, 41, ";"488, 501, 505, "
245;339;"1, 2, 3, 51, 52, ";"488, 507, 36, "
246;439;"1, 2, 3, 51, 52, 53, 54, ";"488, 507, 511, "
247;258;"1, 2, 3, 68, ";"488, 50, 42, "
248;353;"1, 2, 3, 68, 69, 70, ";"488, 50, 54, "
249;349;"1, 2, 3, 69, 70, ";"488, 519, 54, "
250;451;"1, 2, 3, 69, 70, 71, 72, ";"488, 519, 523, "
251;259;"1, 2, 3, 87, ";"488, 59, 60, "
252;359;"1, 2, 3, 87, 88, 89, ";"488, 59, 63, "
253;359;"1, 2, 3, 88, 89, ";"488, 531, 63, "
254;461;"1, 2, 3, 88, 89, 90, 91, ";"488, 531, 535, "
255;269;"1, 2, 3, 99, ";"488, 537, 137, "
256;369;"1, 2, 3, 99, 100, 101, ";"488, 537, 200, "
257;279;"1, 2, 3, 114, ";"488, 543, 180, "
258;379;"1, 2, 3, 114, 115, 116, ";"488, 543, 215, "
259;289;"1, 2, 3, 133, 134, ";"488, 549, 79, "
260;389;"1, 2, 3, 133, 134, 135, 136, ";"488, 549, 553, "
261;419;"1, 2, 3, 5, 6, 20, 21, ";"488, 489, 499, "
262;429;"1, 2, 3, 18, 19, 40, 41, ";"488, 495, 505, "
263;439;"1, 2, 3, 38, 39, 53, 54, ";"488, 501, 511, "
264;451;"1, 2, 3, 51, 52, 71, 72, ";"488, 507, 523, "
265;363;"1, 2, 3, 68, 88, 89, ";"488, 50, 63, "
266;373;"1, 2, 3, 68, 100, 101, ";"488, 50, 200, "
267;461;"1, 2, 3, 69, 70, 90, 91, ";"488, 519, 535, "
268;369;"1, 2, 3, 87, 100, 101, ";"488, 59, 200, "
269;379;"1, 2, 3, 87, 115, 116, ";"488, 59, 215, "
270;471;"1, 2, 3, 88, 89, 102, 103, ";"488, 531, 583, "
271;379;"1, 2, 3, 99, 115, 116, ";"488, 537, 215, "
272;389;"1, 2, 3, 99, 135, 136, ";"488, 537, 553, "
273;389;"1, 2, 3, 114, 135, 136, ";"488, 543, 553, "
274;409;"1, 2, 3, 133, 134, 7, 8, ";"488, 549, 493, "
275;323;"1, 2, 3, 146, ";"488, 597, 88, "
276;402;"1, 2, 3, 146, 147, ";"488, 597, 601, "
277;309;"1, 2, 3, 5, 6, ";"6, "
278;409;"1, 2, 3, 5, 6, 7, 8, ";"493, "
279;319;"1, 2, 3, 18, 19, ";"12, "
280;419;"1, 2, 3, 18, 19, 20, 21, ";"499, "
281;258;"1, 2, 3, 37, ";"15, "
282;341;"1, 2, 3, 37, 38, 39, ";"18, "
283;329;"1, 2, 3, 38, 39, ";"18, "
284;429;"1, 2, 3, 38, 39, 40, 41, ";"505, "
285;258;"1, 2, 3, 50, ";"24, "
286;341;"1, 2, 3, 50, 51, 52, ";"36, "
287;258;"1, 2, 3, 68, ";"42, "
288;349;"1, 2, 3, 68, 69, 70, ";"54, "
289;259;"1, 2, 3, 87, ";"60, "
290;359;"1, 2, 3, 87, 88, 89, ";"63, "
291;269;"1, 2, 3, 99, ";"137, "
292;369;"1, 2, 3, 99, 100, 101, ";"200, "
293;279;"1, 2, 3, 114, ";"180, "
294;379;"1, 2, 3, 114, 115, 116, ";"215, "
295;289;"1, 2, 3, 133, 134, ";"79, "
296;389;"1, 2, 3, 133, 134, 135, 136, ";"553, "
297;419;"1, 2, 3, 5, 6, 20, 21, ";"499, "
298;429;"1, 2, 3, 5, 6, 40, 41, ";"505, "
299;429;"1, 2, 3, 18, 19, 40, 41, ";"505, "
300;439;"1, 2, 3, 18, 19, 53, 54, ";"511, "
301;351;"1, 2, 3, 37, 51, 52, ";"36, "
302;361;"1, 2, 3, 37, 69, 70, ";"54, "
303;371;"1, 2, 3, 37, 88, 89, ";"63, "
304;439;"1, 2, 3, 38, 39, 53, 54, ";"511, "
305;451;"1, 2, 3, 38, 39, 71, 72, ";"523, "
306;351;"1, 2, 3, 50, 69, 70, ";"54, "
307;361;"1, 2, 3, 50, 88, 89, ";"63, "
308;371;"1, 2, 3, 50, 100, 101, ";"200, "
309;359;"1, 2, 3, 68, 88, 89, ";"63, "
310;369;"1, 2, 3, 68, 100, 101, ";"200, "
311;379;"1, 2, 3, 68, 115, 116, ";"215, "
312;369;"1, 2, 3, 87, 100, 101, ";"200, "
313;379;"1, 2, 3, 87, 115, 116, ";"215, "
314;389;"1, 2, 3, 87, 135, 136, ";"553, "
315;379;"1, 2, 3, 99, 115, 116, ";"215, "
316;389;"1, 2, 3, 99, 135, 136, ";"553, "
317;409;"1, 2, 3, 114, 7, 8, ";"493, "
318;389;"1, 2, 3, 114, 135, 136, ";"553, "
319;409;"1, 2, 3, 133, 134, 7, 8, ";"493, "
320;419;"1, 2, 3, 133, 134, 20, 21, ";"499, "
321;409;"1, 2, 3, 4, 7, 8, ";"3, 647, 493, "
322;511;"1, 2, 3, 4, 7, 8, 9, 10, ";"3, 647, 651, "
323;419;"1, 2, 3, 4, 20, 21, ";"3, 653, 499, "
324;521;"1, 2, 3, 4, 20, 21, 22, 23, ";"3, 653, 657, "
325;429;"1, 2, 3, 4, 40, 41, ";"3, 659, 505, "
326;531;"1, 2, 3, 4, 40, 41, 42, 43, ";"3, 659, 663, "
327;439;"1, 2, 3, 4, 53, 54, ";"3, 665, 511, "
328;541;"1, 2, 3, 4, 53, 54, 55, 56, ";"3, 665, 669, "
329;451;"1, 2, 3, 4, 71, 72, ";"3, 671, 523, "
330;551;"1, 2, 3, 4, 71, 72, 73, 74, ";"3, 671, 675, "
331;359;"1, 2, 3, 4, 88, 89, ";"3, 531, 63, "
332;461;"1, 2, 3, 4, 88, 89, 90, 91, ";"3, 531, 535, "
333;369;"1, 2, 3, 4, 100, 101, ";"3, 683, 200, "
334;471;"1, 2, 3, 4, 100, 101, 102, 103, ";"3, 683, 583, "
335;379;"1, 2, 3, 4, 115, 116, ";"3, 689, 215, "
336;481;"1, 2, 3, 4, 115, 116, 117, 118, ";"3, 689, 693, "
337;389;"1, 2, 3, 4, 135, 136, ";"3, 695, 553, "
338;491;"1, 2, 3, 4, 135, 136, 137, 138, ";"3, 695, 699, "
339;402;"1, 2, 3, 4, 147, ";"3, 701, 601, "
340;464;"1, 2, 3, 4, 147, 148, ";"3, 701, 705, "
341;521;"1, 2, 3, 4, 7, 8, 22, 23, ";"3, 647, 657, "
342;531;"1, 2, 3, 4, 20, 21, 42, 43, ";"3, 653, 663, "
343;541;"1, 2, 3, 4, 40, 41, 55, 56, ";"3, 659, 669, "
344;551;"1, 2, 3, 4, 53, 54, 73, 74, ";"3, 665, 675, "
346;471;"1, 2, 3, 4, 88, 89, 102, 103, ";"3, 531, 583, "
347;481;"1, 2, 3, 4, 100, 101, 117, 118, ";"3, 683, 693, "
348;491;"1, 2, 3, 4, 115, 116, 137, 138, ";"3, 689, 699, "
349;409;"1, 2, 3, 4, 7, 8, ";"493, "
350;511;"1, 2, 3, 4, 7, 8, 9, 10, ";"651, "
351;419;"1, 2, 3, 4, 20, 21, ";"499, "
352;521;"1, 2, 3, 4, 20, 21, 22, 23, ";"657, "
353;336;"1, 2, 3, 4, 38, 39, ";"18, "
354;429;"1, 2, 3, 4, 38, 39, 40, 41, ";"505, "
355;429;"1, 2, 3, 4, 40, 41, ";"505, "
356;531;"1, 2, 3, 4, 40, 41, 42, 43, ";"663, "
357;339;"1, 2, 3, 4, 51, 52, ";"36, "
358;439;"1, 2, 3, 4, 51, 52, 53, 54, ";"511, "
359;349;"1, 2, 3, 4, 69, 70, ";"54, "
360;451;"1, 2, 3, 4, 69, 70, 71, 72, ";"523, "
361;359;"1, 2, 3, 4, 88, 89, ";"63, "
362;461;"1, 2, 3, 4, 88, 89, 90, 91, ";"535, "
363;369;"1, 2, 3, 4, 100, 101, ";"200, "
364;471;"1, 2, 3, 4, 100, 101, 102, 103, ";"583, "
365;379;"1, 2, 3, 4, 115, 116, ";"215, "
366;481;"1, 2, 3, 4, 115, 116, 117, 118, ";"693, "
367;389;"1, 2, 3, 4, 135, 136, ";"553, "
368;491;"1, 2, 3, 4, 135, 136, 137, 138, ";"699, "
369;521;"1, 2, 3, 4, 7, 8, 22, 23, ";"657, "
370;531;"1, 2, 3, 4, 7, 8, 42, 43, ";"663, "
371;531;"1, 2, 3, 4, 20, 21, 42, 43, ";"663, "
372;541;"1, 2, 3, 4, 20, 21, 55, 56, ";"669, "
373;439;"1, 2, 3, 4, 38, 39, 53, 54, ";"511, "
374;451;"1, 2, 3, 4, 38, 39, 71, 72, ";"523, "
375;541;"1, 2, 3, 4, 40, 41, 55, 56, ";"669, "
376;551;"1, 2, 3, 4, 40, 41, 73, 74, ";"675, "
377;451;"1, 2, 3, 4, 51, 52, 71, 72, ";"523, "
378;461;"1, 2, 3, 4, 51, 52, 90, 91, ";"535, "
379;461;"1, 2, 3, 4, 69, 70, 90, 91, ";"535, "
380;471;"1, 2, 3, 4, 69, 70, 102, 103, ";"583, "
381;471;"1, 2, 3, 4, 88, 89, 102, 103, ";"583, "
382;481;"1, 2, 3, 4, 88, 89, 117, 118, ";"693, "
383;481;"1, 2, 3, 4, 100, 101, 117, 118, ";"693, "
384;491;"1, 2, 3, 4, 100, 101, 137, 138, ";"699, "
385;491;"1, 2, 3, 4, 115, 116, 137, 138, ";"699, "
386;511;"1, 2, 3, 4, 135, 136, 9, 10, ";"651, "
387;309;"2, 3, 5, 6, ";"765, 488, 489, 6, "
388;409;"2, 3, 5, 6, 7, 8, ";"765, 488, 489, 493, "
389;319;"2, 3, 18, 19, ";"765, 488, 495, 12, "
390;419;"2, 3, 18, 19, 20, 21, ";"765, 488, 495, 499, "
391;329;"2, 3, 38, 39, ";"765, 488, 501, 18, "
392;429;"2, 3, 38, 39, 40, 41, ";"765, 488, 501, 505, "
393;339;"2, 3, 51, 52, ";"765, 488, 507, 36, "
394;439;"2, 3, 51, 52, 53, 54, ";"765, 488, 507, 511, "
395;258;"2, 3, 68, ";"765, 488, 50, 42, "
396;353;"2, 3, 68, 69, 70, ";"765, 488, 50, 54, "
397;349;"2, 3, 69, 70, ";"765, 488, 519, 54, "
398;451;"2, 3, 69, 70, 71, 72, ";"765, 488, 519, 523, "
399;259;"2, 3, 87, ";"765, 488, 59, 60, "
400;359;"2, 3, 87, 88, 89, ";"765, 488, 59, 63, "
401;359;"2, 3, 88, 89, ";"765, 488, 531, 63, "
402;461;"2, 3, 88, 89, 90, 91, ";"765, 488, 531, 535, "
403;269;"2, 3, 99, ";"765, 488, 537, 137, "
404;369;"2, 3, 99, 100, 101, ";"765, 488, 537, 200, "
405;279;"2, 3, 114, ";"765, 488, 543, 180, "
406;379;"2, 3, 114, 115, 116, ";"765, 488, 543, 215, "
407;289;"2, 3, 133, 134, ";"765, 488, 549, 79, "
408;389;"2, 3, 133, 134, 135, 136, ";"765, 488, 549, 553, "
409;419;"2, 3, 5, 6, 20, 21, ";"765, 488, 489, 499, "
410;429;"2, 3, 18, 19, 40, 41, ";"765, 488, 495, 505, "
411;439;"2, 3, 38, 39, 53, 54, ";"765, 488, 501, 511, "
412;451;"2, 3, 51, 52, 71, 72, ";"765, 488, 507, 523, "
413;363;"2, 3, 68, 88, 89, ";"765, 488, 50, 63, "
414;373;"2, 3, 68, 100, 101, ";"765, 488, 50, 200, "
415;461;"2, 3, 69, 70, 90, 91, ";"765, 488, 519, 535, "
416;369;"2, 3, 87, 100, 101, ";"765, 488, 59, 200, "
417;379;"2, 3, 87, 115, 116, ";"765, 488, 59, 215, "
418;471;"2, 3, 88, 89, 102, 103, ";"765, 488, 531, 583, "
419;379;"2, 3, 99, 115, 116, ";"765, 488, 537, 215, "
420;389;"2, 3, 99, 135, 136, ";"765, 488, 537, 553, "
421;389;"2, 3, 114, 135, 136, ";"765, 488, 543, 553, "
422;409;"2, 3, 133, 134, 7, 8, ";"765, 488, 549, 493, "
423;323;"2, 3, 146, ";"765, 488, 597, 88, "
424;402;"2, 3, 146, 147, ";"765, 488, 597, 601, "
425;309;"2, 3, 5, 6, ";"765, 6, "
426;409;"2, 3, 5, 6, 7, 8, ";"765, 493, "
427;319;"2, 3, 18, 19, ";"765, 12, "
428;419;"2, 3, 18, 19, 20, 21, ";"765, 499, "
429;258;"2, 3, 37, ";"765, 15, "
430;341;"2, 3, 37, 38, 39, ";"765, 18, "
431;329;"2, 3, 38, 39, ";"765, 18, "
432;429;"2, 3, 38, 39, 40, 41, ";"765, 505, "
433;258;"2, 3, 50, ";"765, 24, "
434;341;"2, 3, 50, 51, 52, ";"765, 36, "
435;258;"2, 3, 68, ";"765, 42, "
436;349;"2, 3, 68, 69, 70, ";"765, 54, "
437;259;"2, 3, 87, ";"765, 60, "
438;359;"2, 3, 87, 88, 89, ";"765, 63, "
439;269;"2, 3, 99, ";"765, 137, "
440;369;"2, 3, 99, 100, 101, ";"765, 200, "
441;279;"2, 3, 114, ";"765, 180, "
442;379;"2, 3, 114, 115, 116, ";"765, 215, "
443;289;"2, 3, 133, 134, ";"765, 79, "
444;389;"2, 3, 133, 134, 135, 136, ";"765, 553, "
445;419;"2, 3, 5, 6, 20, 21, ";"765, 499, "
446;429;"2, 3, 5, 6, 40, 41, ";"765, 505, "
447;429;"2, 3, 18, 19, 40, 41, ";"765, 505, "
448;439;"2, 3, 18, 19, 53, 54, ";"765, 511, "
449;351;"2, 3, 37, 51, 52, ";"765, 36, "
450;361;"2, 3, 37, 69, 70, ";"765, 54, "
451;371;"2, 3, 37, 88, 89, ";"765, 63, "
452;439;"2, 3, 38, 39, 53, 54, ";"765, 511, "
453;451;"2, 3, 38, 39, 71, 72, ";"765, 523, "
454;351;"2, 3, 50, 69, 70, ";"765, 54, "
455;361;"2, 3, 50, 88, 89, ";"765, 63, "
456;371;"2, 3, 50, 100, 101, ";"765, 200, "
457;359;"2, 3, 68, 88, 89, ";"765, 63, "
458;369;"2, 3, 68, 100, 101, ";"765, 200, "
459;379;"2, 3, 68, 115, 116, ";"765, 215, "
460;369;"2, 3, 87, 100, 101, ";"765, 200, "
461;379;"2, 3, 87, 115, 116, ";"765, 215, "
462;389;"2, 3, 87, 135, 136, ";"765, 553, "
463;379;"2, 3, 99, 115, 116, ";"765, 215, "
464;389;"2, 3, 99, 135, 136, ";"765, 553, "
465;409;"2, 3, 114, 7, 8, ";"765, 493, "
466;389;"2, 3, 114, 135, 136, ";"765, 553, "
467;409;"2, 3, 133, 134, 7, 8, ";"765, 493, "
468;419;"2, 3, 133, 134, 20, 21, ";"765, 499, "
469;409;"2, 3, 4, 7, 8, ";"765, 3, 647, 493, "
470;511;"2, 3, 4, 7, 8, 9, 10, ";"765, 3, 647, 651, "
471;419;"2, 3, 4, 20, 21, ";"765, 3, 653, 499, "
472;521;"2, 3, 4, 20, 21, 22, 23, ";"765, 3, 653, 657, "
473;429;"2, 3, 4, 40, 41, ";"765, 3, 659, 505, "
474;531;"2, 3, 4, 40, 41, 42, 43, ";"765, 3, 659, 663, "
475;439;"2, 3, 4, 53, 54, ";"765, 3, 665, 511, "
476;541;"2, 3, 4, 53, 54, 55, 56, ";"765, 3, 665, 669, "
477;451;"2, 3, 4, 71, 72, ";"765, 3, 671, 523, "
478;551;"2, 3, 4, 71, 72, 73, 74, ";"765, 3, 671, 675, "
479;359;"2, 3, 4, 88, 89, ";"765, 3, 531, 63, "
